Share,Last Traded Price,High Price,Low Price,Close,Volume,Open
J&KBANK,83.65,84.2,82.85,82.85,6.220429404,348.4
JAGRAN,197.4,197.5,193.3,193.3,3.433973815,348.26
JAGSNPHARM,44.7,46,44,44,0.136262642,347.99
JAIBALAJI,18.6,123,123,123,0.016773838,349.74
JAICORPLTD,89.5,91.4,88.8,88.8,7.348628707,346.78
JAIHINDPRO,533.65,123,123,123,0.000882878,346.19
JAINSTUDIO,533.65,123,123,123,0.000114848,352.24
JAMNAAUTO,242.05,244.8,238.3,238.3,2.945198647,353.62
JAYAGROGN,972.05,981.8,960.05,960.05,1.653874872,350.34
JAYBARMARU,647.5,657.05,648,648,2.827255614,355
JAYNECOIND,8.75,123,123,123,0.056786729,343.51
JAYSREETEA,106.85,107.5,103.65,103.65,2.056032277,333.1
JBCHEPHARM,330.65,333.95,328.9,328.9,2.39819002,326.1
JBFIND,280.45,289.45,281,281,2.344511716,333.3
JBMA,278.4,280,275.05,275.05,3.041628534,334.8
JCHAC,1785.6,123,123,123,2.8,335.02
JENSONICOL,10.85,0,0,0,0.361059953,330.49
JETAIRWAYS,540.45,546.55,525.85,525.85,90.06387052,334.06
JHS,46.95,123,123,123,0.36772072,339.92
JIKIND,0.7,123,123,123,9.23E-05,338.1
JINDALPHOT,89.05,123,123,123,0.136299436,341.22
JINDALPOLY,424.1,427.8,420,420,2.122678408,336.99
JINDALSAW,80.25,81.7,80.15,80.15,7.702021215,344.31
JINDALSTEL,114.3,116.75,113.75,113.75,159.7388239,351.11
JINDCOT,13.25,123,123,123,0.092771952,346.36
JINDRILL,168.4,169.9,167.8,167.8,0.798304671,350.64
JINDWORLD,423.2,123,123,123,0.479319504,347.66
JISLDVREQS,66.55,123,123,123,0.673632933,353.15
JISLJALEQS,105.1,106.25,102.8,102.8,35.77485612,348.07
JITFINFRA,63.75,123,123,123,0.104848269,341.85
JKCEMENT,1024.5,1099,1018.1,1018.1,3.510060842,339.28
JKIL,304.6,309.3,302.2,302.2,8.618036113,342.56
JKLAKSHMI,511.65,512,502.05,502.05,5.4092184,335.99
JKPAPER,117.55,119.9,114.8,114.8,5.139429668,337.13
JKTYRE,176.2,177.8,171,171,14.6602025,336.83
JMA,252.2,123,123,123,0.017098604,342
JMCPROJECT,278.9,287,274.5,274.5,1.067240951,342.1
JMFINANCIL,119.5,122.3,118,118,6.395329137,353.18
JMTAUTOLTD,9.2,9.3,8.9,8.9,0.791932222,345.33
JOCIL,176,123,123,123,0.030854126,349.12
JPASSOCIAT,13.05,13.2,12.9,12.9,67.41712262,354.69
JPINFRATEC,14.05,14.2,13.75,13.75,2.887257939,354.91
JPOLYINVST,93.95,123,123,123,0.021229679,361.4
JPPOWER,4.7,4.75,4.6,4.6,4.702860371,360.07
JSL,74.25,79.8,74.65,74.65,6.388471041,357.19
JSLHISAR,141.7,147.45,141,141,4.639345108,349.96
JSWENERGY,69.8,70.85,67.4,67.4,25.60703915,355.47
JSWHL,1616.15,1630.05,1600,1600,0.611494803,351.24
JSWSTEEL,197.5,200,194.3,194.3,70.16555862,345.26
JUBILANT,785.85,787.9,774.5,774.5,62.36538727,344.02
JUBLFOOD,974.6,1002,975,975,63.77441256,338.77
JUBLINDS,308.45,319.9,309.55,309.55,7.341918311,342.15
JUNIORBEES,271.21,123,123,123,0.239923577,358.71
JUSTDIAL,515.75,518.95,507.5,507.5,109.1254412,357.25
JVLAGRO,19.9,123,123,123,0.368376826,360.8
JYOTHYLAB,378.15,381.8,375.05,375.05,2.802317699,359.19
JYOTISTRUC,9.7,123,123,123,0.400608195,356.79
KABRAEXTRU,119.55,123,123,123,0.146550031,354.75
KAJARIACER,718.4,742.9,702.6,702.6,11.32165352,357.39
KAKATCEM,427.1,432.25,425,425,2.269483638,355.19
KALPATPOWR,358.75,359.95,355.35,355.35,2.874647297,353.68
KALYANIFRG,325,123,123,123,0.028740564,347.89
KAMATHOTEL,46.5,123,123,123,0.187489029,343.64
KAMDHENU,110.05,123,123,123,0.615827843,343.8
KANANIIND,14.2,123,123,123,0.058467721,344.45
KANORICHEM,77,123,123,123,0.484422518,341.3
KANSAINER,405.8,408.8,404.25,404.25,4.427369135,335.8
KARMAENG,45.6,123,123,123,0.16213064,344.17
KARURVYSYA,119.3,119.7,117.75,117.75,10.60878264,343.78
KAUSHALYA,3.65,123,123,123,0.00815887,342.96
KAVVERITEL,12.1,123,123,123,0.004046911,336.33
KAYA,919.05,933,912,912,1.073862626,326.87
KCP,128,128.9,124.75,124.75,2.911884454,333.77
KCPSUGIND,35.7,36.1,35.65,35.65,1.793670335,336.43
KDDL,197.7,204.9,198.45,198.45,0.23975029,348.35
KEC,237.35,253.5,236.2,236.2,6.191208832,329.52
KECL,41.45,43,41.65,41.65,0.74458403,345.89
KEI,235.1,238,222.05,222.05,6.353342798,345.16
KELLTONTEC,118.95,120,118.65,118.65,1.417742573,343.25
KERNEX,53.15,123,123,123,0.126949259,344.88
KESARENT,63.95,123,123,123,0.075664728,338.83
KESORAMIND,144.65,147,145,145,6.083643617,333.99
KGL,1.35,123,123,123,0.102498967,334.72
KHAITANELE,29.3,123,123,123,0.087711304,329.55
KHAITANLTD,19,123,123,123,0.001340138,332.44
KHANDSE,17,123,123,123,0.002241192,325.64
KICL,1794.2,123,123,123,0.316524058,322.95
KILITCH,59.7,123,123,123,0.115816808,325.48
KINGFA,824.7,123,123,123,0.408659918,326.22
KIOCL,123,123,123,123,0.00001875,325.91
KIRIINDUS,281,283.85,280.4,280.4,8.58585381,322.85
KIRLOSBROS,277,278.65,267.15,267.15,2.688080456,325
KIRLOSENG,399.85,400.15,392.55,392.55,0.761602764,324.36
KIRLOSIND,1372.55,1391,1350,1350,0.060545824,323
KITEX,400.5,409,401.2,401.2,1.323352895,321.6
KKCL,1742.15,123,123,123,0.164112211,321.63
KMSUGAR,25.1,25.7,24.05,24.05,2.198673816,321.09
KNRCON,206.35,207.25,203.2,203.2,1.386105031,320
KOHINOOR,80.2,80.8,79,79,7.020851542,321.73
KOKUYOCMLN,100,101.05,98.55,98.55,0.419010998,324.37
KOLTEPATIL,185.9,188.9,184.25,184.25,5.479394932,319.65
KOPRAN,94.8,95.35,91.9,91.9,4.305972352,322.13
KOTAKBANK,927.65,940,930.55,930.55,152.2280795,319.63
KOTAKNIFTY,941.45,123,123,123,1.123463063,323.8
KOTAKPSUBK,376.65,123,123,123,0.212008321,318.64
KOTARISUG,13.8,123,123,123,0.125451442,317.01
KOTHARIPET,28.75,123,123,123,0.078777125,317.53
KOTHARIPRO,195.3,123,123,123,0.437562271,315.27
KPIT,129.2,130.35,128.45,128.45,7.852291673,313.54
KPRMILL,756.4,775,748.1,748.1,2.501972616,315.5
KRBL,420.3,424.8,410.1,410.1,5.17883163,313.74
KREBSBIO,95.4,123,123,123,0.003032041,312
KRIDHANINF,58.5,123,123,123,0.327013871,310.45
KSBPUMPS,672.6,123,123,123,0.40182436,306.68
KSCL,556.6,561.1,550,550,34.72522699,307.97
KSERASERA,0.15,123,123,123,0.008472987,305.2
KSK,9.95,123,123,123,0.716250375,301.2
KSL,368.65,373.5,368.25,368.25,7.768120895,305.72
KTIL,206.2,209.7,206.1,206.1,0.395299422,308.46
KTKBANK,168.8,171.2,166,166,41.44755682,316
KWALITY,147.1,148.5,145,145,14.04780419,315
L&TFH,134.6,135.35,133.05,133.05,52.10044845,316.64
LAKPRE,41.3,123,123,123,0.008826698,321.05
LAKSHMIEFL,50.7,51.5,50.8,50.8,5.5647095,317.2
LAKSHVILAS,180.7,185.65,181.35,181.35,12.47080837,317.99
LALPATHLAB,961.55,969.95,955,955,11.3874293,315.45
LAMBODHARA,77.15,123,123,123,0.230170299,311.37
LAOPALA,534.8,541.45,524,524,0.638086828,307
LAURUSLABS,554.8,562.4,551,551,15.09035515,302.22
LAXMIMACH,4524.4,4619.75,4480,4480,1.235879006,304.23
LCCINFOTEC,0.25,123,123,123,0.000181543,307.95
LFIC,533.65,123,123,123,0.001956294,307.65
LGBBROSLTD,660.15,123,123,123,0.708744584,306.87
LGBFORGE,6,123,123,123,0.04329044,309.09
LIBERTSHOE,186,187.8,182.5,182.5,2.088744701,309.07
LICHSGFIN,697.35,706.45,691.7,691.7,127.8613944,312.36
LICNFNHGP,102.38,123,123,123,123,309
LINCOLN,223.85,234.9,225.2,225.2,3.033765786,303.4
LINCPEN,292.15,123,123,123,0.230430336,318.47
LINDEINDIA,450.85,123,123,123,1.221804728,307.44
LITL,3.4,123,123,123,0.968886363,301.69
LLOYDELENG,248.4,258.4,248.65,248.65,11.84207681,300.2
LML,12.5,123,123,123,0.313557811,295.41
LOKESHMACH,99.6,123,123,123,0.320855958,294.74
LOTUSEYE,35.2,123,123,123,0.320763059,291.71
LOVABLE,252.1,256,250.4,250.4,1.065979783,290.34
LPDC,3.75,123,123,123,0.006843804,289.59
LSIL,2,123,123,123,0.036889163,282
LT,1739.25,1754.5,1719.6,1719.6,165.5608601,281.6
LTI,751.4,752.05,742,742,4.033910472,286.15
LTTS,754.65,759.95,750,750,1.955122029,289
LUMAXIND,1445.65,1461.95,1443,1443,2.306107654,287.23
LUMAXTECH,514.55,522,505.15,505.15,0.751462958,291.77
LUPIN,1258.9,1273.9,1256.7,1256.7,124.7860892,293.98
LUXIND,825.75,123,123,123,1.447410039,292.1
LYCOS,7.1,0,0,0,0.977069215,286.33
LYKALABS,52.15,123,123,123,0.483768276,282.71
LYPSAGEMS,65,123,123,123,0.52216355,283.86
